"team","goals_scored"
Germany,237
Brazil,237
Argentina,152
France,136
Italy,128
Spain,108
England,104
Netherlands,96
Uruguay,89
Hungary,87
Sweden,80
Russia,77
Serbia,69
Belgium,69
Mexico,62
Portugal,61
Switzerland,55
Poland,49
Czech Republic,47
Croatia,43
Austria,43
United States,40
Chile,40
South Korea,39
Colombia,32
Denmark,31
Romania,30
Paraguay,30
Scotland,25
Japan,25
Nigeria,23
Costa Rica,22
Cameroon,22
Bulgaria,22
Peru,21
Turkey,20
Morocco,20
Ghana,18
Australia,17
Senegal,16
Tunisia,14
Saudi Arabia,14
Ecuador,14
Northern Ireland,13
Ivory Coast,13
Iran,13
Algeria,13
South Africa,11
Republic of Ireland,10
Norway,7
North Korea,6
Wales,5
Ukraine,5
Slovenia,5
Slovakia,5
Greece,5
Egypt,5
Cuba,5
New Zealand,4
Bosnia and Herzegovina,4
Jamaica,3
Honduras,3
United Arab Emirates,2
Serbia and Montenegro,2
Panama,2
Kuwait,2
Iceland,2
Haiti,2
Canada,2
Togo,1
Qatar,1
Israel,1
Iraq,1
El Salvador,1
Bolivia,1
Angola,1
